gene,altered_n,reference_n,altered_mean_dependency,reference_mean_dependency,effect,std_error,conf_low,conf_high,p_value,eligible,fdr
LCOR,16,1192,-0.427087499948851,-0.649734692693862,0.222647192745011,0.0692697873737824,0.0868784094923977,0.358415975997625,0.00514625301764688,TRUE,0.215891590008601
DIAPH3,12,1196,-1.22991830635087,-0.640934894660581,-0.588983411690292,0.171174444629799,-0.924485323164697,-0.253481500215887,0.00537967394958443,TRUE,0.220310456982981
HIP1R,12,1196,-1.25485585406471,-0.640684685151746,-0.61417116891296,0.182780887253634,-0.972421707930082,-0.255920629895837,0.0062311516881066,TRUE,0.249246067524264
MYH15,12,1196,-0.451383777139624,-0.648746277896814,0.19736250075719,0.0611568962501124,0.0774949841069701,0.317230017407411,0.00676666607594484,TRUE,0.264515128423298
CNTNAP2,15,1193,-0.389756641083024,-0.650017438452657,0.260260797369633,0.083919750978035,0.0957780854526844,0.424743509286582,0.00724253050118475,TRUE,0.276825610267506
DSCAML1,11,1197,-0.382583544536515,-0.649213646366218,0.266630101829703,0.0818157629136127,0.106271206519022,0.426988997140384,0.00775523002832087,TRUE,0.289978166276345
LARP1B,11,1197,-1.19337892230852,-0.641762728107662,-0.551616194200856,0.169608903473738,-0.884049645009382,-0.21918274339233,0.0084873151678465,TRUE,0.310599618908425
ARHGEF4,17,1191,-0.407636107752767,-0.650199277798882,0.242563170046114,0.0835971326462839,0.0787127900593981,0.406413550032831,0.00980234144998067,TRUE,0.351250568624308
AFF4,10,1198,-1.10812287214569,-0.642934828855432,-0.465188043290261,0.144817303021136,-0.749029957211687,-0.181346129368835,0.0102845184102654,TRUE,0.35378743331313
ARID1A,124,1084,-0.773008215021396,-0.632346988032852,-0.140661226988545,0.0540990588216402,-0.246695382278959,-0.0346270716981297,0.010245744899514,TRUE,0.35378743331313
