gene,altered_n,reference_n,altered_mean_dependency,reference_mean_dependency,effect,std_error,conf_low,conf_high,p_value,eligible,fdr
BRCA1,24,1184,-0.287875118620292,-0.207691996763793,-0.0801831218564982,0.0334252914410949,-0.145696693081044,-0.0146695506319521,0.0246178734491114,TRUE,0.67899262199143
EP300,83,1125,-0.172342850839129,-0.21201055146273,0.039667700623601,0.0171963145445882,0.00596292411620804,0.073372477130994,0.0232298322297976,TRUE,0.67899262199143
SYNE1,49,1159,-0.165762693487932,-0.211125069054624,0.045362375566692,0.0177918342208329,0.0104903804938596,0.0802343706395244,0.0135912580635304,TRUE,0.67899262199143
MUC19,71,1137,-0.165810681355158,-0.211999796516273,0.0461891151611152,0.0175911146450474,0.0117105304568222,0.0806676998654081,0.0103380748277748,TRUE,0.67899262199143
PIGO,16,1192,-0.157574922876431,-0.209979134437245,0.0524042115608138,0.0203786433724948,0.012462070550724,0.0923463525709036,0.0200643253012378,TRUE,0.67899262199143
MUC17,12,1196,-0.155563080035801,-0.209824055229757,0.0542609751939552,0.0184221930601229,0.0181534767961143,0.0903684735917961,0.0118193401231363,TRUE,0.67899262199143
KCNH5,11,1197,-0.152217345388013,-0.209809470522933,0.0575921251349194,0.0220118834897556,0.0144488334949984,0.100735416774841,0.0241353026827881,TRUE,0.67899262199143
KIF26A,21,1187,-0.151527957401121,-0.210306857548269,0.0587789001471477,0.0215320719590424,0.0165760391074246,0.100981761186871,0.0122551337362777,TRUE,0.67899262199143
ARHGAP23,10,1198,-0.149806075270581,-0.209781524426137,0.0599754491555565,0.0221309329712254,0.0165988205319546,0.103352077779158,0.0222999924965879,TRUE,0.67899262199143
PIEZO2,25,1183,-0.149718114505449,-0.210543849664059,0.0608257351586108,0.0244635446736827,0.0128771875981927,0.108774282719029,0.0197215220561188,TRUE,0.67899262199143
VPS13C,23,1185,-0.147374635184403,-0.210486675448082,0.0631120402636793,0.0240491433605302,0.0159757192770401,0.110248361250318,0.0149596167855734,TRUE,0.67899262199143
NWD1,15,1193,-0.146708486148346,-0.210071835476105,0.063363349327759,0.0235619513078749,0.0171819247643242,0.109544773891194,0.0167438264303042,TRUE,0.67899262199143
ITPR2,25,1183,-0.145059249050975,-0.210642304132666,0.0655830550816911,0.0266675902364482,0.0133145782182527,0.11785153194513,0.0210477947264992,TRUE,0.67899262199143
PRRC2C,14,1194,-0.144012635205076,-0.210050376986891,0.0660377417818145,0.0254807196873642,0.0160955311945807,0.115979952369048,0.0214503797141523,TRUE,0.67899262199143
AGGF1,10,1198,-0.140059469078589,-0.209862881739927,0.0698034126613386,0.0264155686661136,0.018028898075756,0.121577927246921,0.0255378150898288,TRUE,0.67899262199143
WWC2,10,1198,-0.139307670295517,-0.209869157188868,0.0705614868933502,0.0262265592526569,0.0191574307581426,0.121965543028558,0.02354087487118,TRUE,0.67899262199143
RUSC2,17,1191,-0.139583802545416,-0.210279934821114,0.0706961322756982,0.0277970414250398,0.0162139310826202,0.125178333468776,0.0210707766771619,TRUE,0.67899262199143
COL5A3,14,1194,-0.138985087605253,-0.210109326456235,0.0711242388509819,0.0280985498136023,0.0160510812163214,0.126197396485642,0.0242784490981515,TRUE,0.67899262199143
SZT2,25,1183,-0.138611396020329,-0.210778564763069,0.0721671687427392,0.0270994601856173,0.0190522267789292,0.125282110706549,0.0132495642137491,TRUE,0.67899262199143
THSD7B,23,1185,-0.136950035180823,-0.21068900945659,0.0737389742757674,0.029444327100942,0.016028093157921,0.131449855393614,0.0197730338183317,TRUE,0.67899262199143
RSU1P2,18,1190,-0.135080959360199,-0.210407453568685,0.0753264942084853,0.0307263337712127,0.0151028800169085,0.135550108400062,0.0248149836393472,TRUE,0.67899262199143
JMJD1C,18,1190,-0.133965342529614,-0.210424328445114,0.0764589859154997,0.0294630268814826,0.0187114532277939,0.134206518603206,0.0183783874659194,TRUE,0.67899262199143
CENPE,13,1195,-0.132667372675937,-0.210118536544294,0.077451163868357,0.0306058941922229,0.0174636112516,0.137438716485114,0.0256596049008389,TRUE,0.67899262199143
KIF20B,17,1191,-0.132507070913314,-0.210380946103856,0.0778738751905421,0.0305085419011706,0.0180771330642477,0.137670617316836,0.020779764798042,TRUE,0.67899262199143
