term,modality,gene,role,label,selected_count,models_evaluated,selection_frequency,positive_count,negative_count,direction_concordance,median_selected_coefficient,full_discovery_coefficient,stable,near_miss
mutation__IFT172,mutation,IFT172,genome_wide_candidate,IFT172 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__TNS2,mutation,TNS2,genome_wide_candidate,TNS2 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__SCAF4,mutation,SCAF4,genome_wide_candidate,SCAF4 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__SAMD9,mutation,SAMD9,genome_wide_candidate,SAMD9 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__CEP250,mutation,CEP250,genome_wide_candidate,CEP250 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__TENM1,mutation,TENM1,genome_wide_candidate,TENM1 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__NF2,mutation,NF2,genome_wide_candidate,NF2 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__MEGF8,mutation,MEGF8,genome_wide_candidate,MEGF8 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__PTCH2,mutation,PTCH2,genome_wide_candidate,PTCH2 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__SYNPO2L,mutation,SYNPO2L,genome_wide_candidate,SYNPO2L damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__AGAP1,mutation,AGAP1,genome_wide_candidate,AGAP1 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__PTCH1,mutation,PTCH1,genome_wide_candidate,PTCH1 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__PROX1,mutation,PROX1,genome_wide_candidate,PROX1 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__KNOP1,mutation,KNOP1,genome_wide_candidate,KNOP1 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__EPHA5,mutation,EPHA5,genome_wide_candidate,EPHA5 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__ADAMTS13,mutation,ADAMTS13,genome_wide_candidate,ADAMTS13 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__FXR2,mutation,FXR2,genome_wide_candidate,FXR2 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__ZDHHC8,mutation,ZDHHC8,genome_wide_candidate,ZDHHC8 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__ATRX,mutation,ATRX,genome_wide_candidate,ATRX damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__SAMD9L,mutation,SAMD9L,genome_wide_candidate,SAMD9L damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__SPG11,mutation,SPG11,genome_wide_candidate,SPG11 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__KMT2A,mutation,KMT2A,genome_wide_candidate,KMT2A damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__IFFO1,mutation,IFFO1,genome_wide_candidate,IFFO1 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__ZC3H6,mutation,ZC3H6,genome_wide_candidate,ZC3H6 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__CECR2,mutation,CECR2,genome_wide_candidate,CECR2 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__WASHC4,mutation,WASHC4,genome_wide_candidate,WASHC4 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__CTCF,mutation,CTCF,genome_wide_candidate,CTCF damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__ABCA8,mutation,ABCA8,genome_wide_candidate,ABCA8 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__HELZ2,mutation,HELZ2,genome_wide_candidate,HELZ2 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__ATXN2L,mutation,ATXN2L,genome_wide_candidate,ATXN2L damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__GPC2,mutation,GPC2,genome_wide_candidate,GPC2 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__DEPDC5,mutation,DEPDC5,genome_wide_candidate,DEPDC5 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__RNF6,mutation,RNF6,genome_wide_candidate,RNF6 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__SCAF1,mutation,SCAF1,genome_wide_candidate,SCAF1 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__SECISBP2,mutation,SECISBP2,genome_wide_candidate,SECISBP2 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__PAPOLG,mutation,PAPOLG,genome_wide_candidate,PAPOLG damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__SULF1,mutation,SULF1,genome_wide_candidate,SULF1 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__OC90,mutation,OC90,genome_wide_candidate,OC90 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__CDHR2,mutation,CDHR2,genome_wide_candidate,CDHR2 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__ABCA9,mutation,ABCA9,genome_wide_candidate,ABCA9 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__PARP14,mutation,PARP14,genome_wide_candidate,PARP14 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__DNAH2,mutation,DNAH2,genome_wide_candidate,DNAH2 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__TLE4,mutation,TLE4,genome_wide_candidate,TLE4 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__STAB1,mutation,STAB1,genome_wide_candidate,STAB1 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__PKD1L3,mutation,PKD1L3,genome_wide_candidate,PKD1L3 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__TUBGCP2,mutation,TUBGCP2,genome_wide_candidate,TUBGCP2 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__LRRIQ1,mutation,LRRIQ1,genome_wide_candidate,LRRIQ1 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__CDK13,mutation,CDK13,genome_wide_candidate,CDK13 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__NLRC5,mutation,NLRC5,genome_wide_candidate,NLRC5 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__JAKMIP3,mutation,JAKMIP3,genome_wide_candidate,JAKMIP3 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__IRS1,mutation,IRS1,genome_wide_candidate,IRS1 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__INO80D,mutation,INO80D,genome_wide_candidate,INO80D damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__ZNF687,mutation,ZNF687,genome_wide_candidate,ZNF687 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__IGSF9B,mutation,IGSF9B,genome_wide_candidate,IGSF9B damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__KLF3,mutation,KLF3,genome_wide_candidate,KLF3 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__PLXNB1,mutation,PLXNB1,genome_wide_candidate,PLXNB1 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__POLD1,mutation,POLD1,genome_wide_candidate,POLD1 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__SYTL2,mutation,SYTL2,genome_wide_candidate,SYTL2 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__MUC5B,mutation,MUC5B,genome_wide_candidate,MUC5B damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__SCAF8,mutation,SCAF8,genome_wide_candidate,SCAF8 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__BEND4,mutation,BEND4,genome_wide_candidate,BEND4 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__MSH3,mutation,MSH3,genome_wide_candidate,MSH3 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__NIPBL,mutation,NIPBL,genome_wide_candidate,NIPBL damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__CDKL3,mutation,CDKL3,genome_wide_candidate,CDKL3 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__PTPRQ,mutation,PTPRQ,genome_wide_candidate,PTPRQ damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__ROCK1,mutation,ROCK1,genome_wide_candidate,ROCK1 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__GRM1,mutation,GRM1,genome_wide_candidate,GRM1 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__CADPS,mutation,CADPS,genome_wide_candidate,CADPS damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__GOLGA2,mutation,GOLGA2,genome_wide_candidate,GOLGA2 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__NAV1,mutation,NAV1,genome_wide_candidate,NAV1 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__ZNF106,mutation,ZNF106,genome_wide_candidate,ZNF106 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__EIF5B,mutation,EIF5B,genome_wide_candidate,EIF5B damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__BRD3,mutation,BRD3,genome_wide_candidate,BRD3 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__DPP10,mutation,DPP10,genome_wide_candidate,DPP10 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__WDR97,mutation,WDR97,genome_wide_candidate,WDR97 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__CCDC9B,mutation,CCDC9B,genome_wide_candidate,CCDC9B damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__SIX4,mutation,SIX4,genome_wide_candidate,SIX4 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__CARD11,mutation,CARD11,genome_wide_candidate,CARD11 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__NHS,mutation,NHS,genome_wide_candidate,NHS damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__ZMYM4,mutation,ZMYM4,genome_wide_candidate,ZMYM4 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__UNC13B,mutation,UNC13B,genome_wide_candidate,UNC13B damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__CRYBG2,mutation,CRYBG2,genome_wide_candidate,CRYBG2 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__TENM4,mutation,TENM4,genome_wide_candidate,TENM4 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__SLF2,mutation,SLF2,genome_wide_candidate,SLF2 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__DZIP3,mutation,DZIP3,genome_wide_candidate,DZIP3 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__PRR12,mutation,PRR12,genome_wide_candidate,PRR12 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__KCTD3,mutation,KCTD3,genome_wide_candidate,KCTD3 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__SKOR2,mutation,SKOR2,genome_wide_candidate,SKOR2 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__ARHGEF40,mutation,ARHGEF40,genome_wide_candidate,ARHGEF40 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__AGO1,mutation,AGO1,genome_wide_candidate,AGO1 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__NBN,mutation,NBN,genome_wide_candidate,NBN damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__FRY,mutation,FRY,genome_wide_candidate,FRY damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__DHX29,mutation,DHX29,genome_wide_candidate,DHX29 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__TBX4,mutation,TBX4,genome_wide_candidate,TBX4 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__KLHL41,mutation,KLHL41,genome_wide_candidate,KLHL41 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__HECTD4,mutation,HECTD4,genome_wide_candidate,HECTD4 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__ABI3BP,mutation,ABI3BP,genome_wide_candidate,ABI3BP damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__PLXNC1,mutation,PLXNC1,genome_wide_candidate,PLXNC1 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__TTC28,mutation,TTC28,genome_wide_candidate,TTC28 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__RNF213,mutation,RNF213,genome_wide_candidate,RNF213 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__PLXNA4,mutation,PLXNA4,genome_wide_candidate,PLXNA4 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__RERE,mutation,RERE,genome_wide_candidate,RERE damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__ARSJ,mutation,ARSJ,genome_wide_candidate,ARSJ damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__EPHA2,mutation,EPHA2,genome_wide_candidate,EPHA2 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__ZNF197,mutation,ZNF197,genome_wide_candidate,ZNF197 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__DENND4A,mutation,DENND4A,genome_wide_candidate,DENND4A damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__SETBP1,mutation,SETBP1,genome_wide_candidate,SETBP1 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__LTBP1,mutation,LTBP1,genome_wide_candidate,LTBP1 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__FLT4,mutation,FLT4,genome_wide_candidate,FLT4 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__CACNA1I,mutation,CACNA1I,genome_wide_candidate,CACNA1I damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__WDR33,mutation,WDR33,genome_wide_candidate,WDR33 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__DTX4,mutation,DTX4,genome_wide_candidate,DTX4 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__GGNBP2,mutation,GGNBP2,genome_wide_candidate,GGNBP2 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__KIF21A,mutation,KIF21A,genome_wide_candidate,KIF21A damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__BOD1L1,mutation,BOD1L1,genome_wide_candidate,BOD1L1 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__SLITRK5,mutation,SLITRK5,genome_wide_candidate,SLITRK5 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__BRCA2,mutation,BRCA2,genome_wide_candidate,BRCA2 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__DYNC1H1,mutation,DYNC1H1,genome_wide_candidate,DYNC1H1 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__PCDH10,mutation,PCDH10,genome_wide_candidate,PCDH10 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__DDX60L,mutation,DDX60L,genome_wide_candidate,DDX60L damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__PHLDB1,mutation,PHLDB1,genome_wide_candidate,PHLDB1 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__MAGEL2,mutation,MAGEL2,genome_wide_candidate,MAGEL2 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__ANKRD36C,mutation,ANKRD36C,genome_wide_candidate,ANKRD36C damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__KDM6A,mutation,KDM6A,genome_wide_candidate,KDM6A damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__KMT2C,mutation,KMT2C,genome_wide_candidate,KMT2C damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__KMT2D,mutation,KMT2D,genome_wide_candidate,KMT2D damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__MLH3,mutation,MLH3,genome_wide_candidate,MLH3 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__GPR179,mutation,GPR179,genome_wide_candidate,GPR179 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__DLG2,mutation,DLG2,genome_wide_candidate,DLG2 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__WDR90,mutation,WDR90,genome_wide_candidate,WDR90 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__ARID1A,mutation,ARID1A,genome_wide_candidate,ARID1A damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__TFE3,mutation,TFE3,genome_wide_candidate,TFE3 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__MME,mutation,MME,genome_wide_candidate,MME damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__CHD8,mutation,CHD8,genome_wide_candidate,CHD8 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__PNISR,mutation,PNISR,genome_wide_candidate,PNISR damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__CDC42BPA,mutation,CDC42BPA,genome_wide_candidate,CDC42BPA damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__ANKFN1,mutation,ANKFN1,genome_wide_candidate,ANKFN1 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__RALGAPA1,mutation,RALGAPA1,genome_wide_candidate,RALGAPA1 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__CTTNBP2,mutation,CTTNBP2,genome_wide_candidate,CTTNBP2 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__OBSCN,mutation,OBSCN,genome_wide_candidate,OBSCN damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__ACE,mutation,ACE,genome_wide_candidate,ACE damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__B3GNT5,mutation,B3GNT5,genome_wide_candidate,B3GNT5 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__PLAU,mutation,PLAU,genome_wide_candidate,PLAU damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__JAKMIP1,mutation,JAKMIP1,genome_wide_candidate,JAKMIP1 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__NFASC,mutation,NFASC,genome_wide_candidate,NFASC damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__ACVR2A,mutation,ACVR2A,genome_wide_candidate,ACVR2A damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__SP8,mutation,SP8,genome_wide_candidate,SP8 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__HDAC7,mutation,HDAC7,genome_wide_candidate,HDAC7 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__NUP214,mutation,NUP214,genome_wide_candidate,NUP214 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__AKAP6,mutation,AKAP6,genome_wide_candidate,AKAP6 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__SGO2,mutation,SGO2,genome_wide_candidate,SGO2 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__GATA3,mutation,GATA3,genome_wide_candidate,GATA3 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__ANKRD12,mutation,ANKRD12,genome_wide_candidate,ANKRD12 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__MAP7D1,mutation,MAP7D1,genome_wide_candidate,MAP7D1 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__KIAA1755,mutation,KIAA1755,genome_wide_candidate,KIAA1755 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__SLC4A3,mutation,SLC4A3,genome_wide_candidate,SLC4A3 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__GRIN2D,mutation,GRIN2D,genome_wide_candidate,GRIN2D damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__CNTLN,mutation,CNTLN,genome_wide_candidate,CNTLN damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__C18orf63,mutation,C18orf63,genome_wide_candidate,C18orf63 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__GLI3,mutation,GLI3,genome_wide_candidate,GLI3 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__CR2,mutation,CR2,genome_wide_candidate,CR2 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__CLCN3,mutation,CLCN3,genome_wide_candidate,CLCN3 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__ATG9B,mutation,ATG9B,genome_wide_candidate,ATG9B damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__PCNX3,mutation,PCNX3,genome_wide_candidate,PCNX3 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__PRRC2B,mutation,PRRC2B,genome_wide_candidate,PRRC2B damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__PMS2,mutation,PMS2,genome_wide_candidate,PMS2 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__DOT1L,mutation,DOT1L,genome_wide_candidate,DOT1L damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__FZR1,mutation,FZR1,genome_wide_candidate,FZR1 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__ANKRD31,mutation,ANKRD31,genome_wide_candidate,ANKRD31 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__KIF5C,mutation,KIF5C,genome_wide_candidate,KIF5C damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__SHANK1,mutation,SHANK1,genome_wide_candidate,SHANK1 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__NKAPD1,mutation,NKAPD1,genome_wide_candidate,NKAPD1 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__TENM2,mutation,TENM2,genome_wide_candidate,TENM2 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__LARP4B,mutation,LARP4B,genome_wide_candidate,LARP4B damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__PPP1R3A,mutation,PPP1R3A,genome_wide_candidate,PPP1R3A damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__JARID2,mutation,JARID2,genome_wide_candidate,JARID2 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__PRRC2A,mutation,PRRC2A,genome_wide_candidate,PRRC2A damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__ZC3H7B,mutation,ZC3H7B,genome_wide_candidate,ZC3H7B damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__ZNF609,mutation,ZNF609,genome_wide_candidate,ZNF609 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__VHL,mutation,VHL,genome_wide_candidate,VHL damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__TCF12,mutation,TCF12,genome_wide_candidate,TCF12 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__SOWAHA,mutation,SOWAHA,genome_wide_candidate,SOWAHA damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__KEL,mutation,KEL,genome_wide_candidate,KEL damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__SLC12A7,mutation,SLC12A7,genome_wide_candidate,SLC12A7 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__ALDH1L2,mutation,ALDH1L2,genome_wide_candidate,ALDH1L2 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__MYRF,mutation,MYRF,genome_wide_candidate,MYRF damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__WDR55,mutation,WDR55,genome_wide_candidate,WDR55 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__KLHL31,mutation,KLHL31,genome_wide_candidate,KLHL31 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__ATAD2B,mutation,ATAD2B,genome_wide_candidate,ATAD2B damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__SDAD1,mutation,SDAD1,genome_wide_candidate,SDAD1 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__ANO3,mutation,ANO3,genome_wide_candidate,ANO3 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__SCN1A,mutation,SCN1A,genome_wide_candidate,SCN1A damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__SHB,mutation,SHB,genome_wide_candidate,SHB damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__USP42,mutation,USP42,genome_wide_candidate,USP42 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__ARID1B,mutation,ARID1B,genome_wide_candidate,ARID1B damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__KDR,mutation,KDR,genome_wide_candidate,KDR damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__LRGUK,mutation,LRGUK,genome_wide_candidate,LRGUK damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__KCNA4,mutation,KCNA4,genome_wide_candidate,KCNA4 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__MBD6,mutation,MBD6,genome_wide_candidate,MBD6 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__STAT6,mutation,STAT6,genome_wide_candidate,STAT6 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__PHF2,mutation,PHF2,genome_wide_candidate,PHF2 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__CNNM2,mutation,CNNM2,genome_wide_candidate,CNNM2 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__KCNB2,mutation,KCNB2,genome_wide_candidate,KCNB2 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__LAMA5,mutation,LAMA5,genome_wide_candidate,LAMA5 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__HIVEP3,mutation,HIVEP3,genome_wide_candidate,HIVEP3 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
mutation__APPBP2,mutation,APPBP2,genome_wide_candidate,APPBP2 damaging mutation,0,15,0,0,0,,0,0,FALSE,FALSE
