term,modality,gene,role,label,selected_count,models_evaluated,selection_frequency,positive_count,negative_count,direction_concordance,median_selected_coefficient,full_discovery_coefficient,stable,near_miss
expression__RIPK4,expression,RIPK4,genome_wide_candidate,RIPK4 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__TAFA3,expression,TAFA3,genome_wide_candidate,TAFA3 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__KIAA1755,expression,KIAA1755,genome_wide_candidate,KIAA1755 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__LYST,expression,LYST,genome_wide_candidate,LYST expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__FGD4,expression,FGD4,genome_wide_candidate,FGD4 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__CNTNAP3,expression,CNTNAP3,genome_wide_candidate,CNTNAP3 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__STAC3,expression,STAC3,genome_wide_candidate,STAC3 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__PSAP,expression,PSAP,genome_wide_candidate,PSAP expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__PLOD1,expression,PLOD1,genome_wide_candidate,PLOD1 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__SERPINA5,expression,SERPINA5,genome_wide_candidate,SERPINA5 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__SORBS2,expression,SORBS2,genome_wide_candidate,SORBS2 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__CRTAP,expression,CRTAP,genome_wide_candidate,CRTAP expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__GLMP,expression,GLMP,genome_wide_candidate,GLMP expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__NSUN6,expression,NSUN6,genome_wide_candidate,NSUN6 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__PXDC1,expression,PXDC1,genome_wide_candidate,PXDC1 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__PPP2R3A,expression,PPP2R3A,genome_wide_candidate,PPP2R3A expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__ACVR1C,expression,ACVR1C,genome_wide_candidate,ACVR1C expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__ATOX1,expression,ATOX1,genome_wide_candidate,ATOX1 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__GPRC5B,expression,GPRC5B,genome_wide_candidate,GPRC5B expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__RHOJ,expression,RHOJ,genome_wide_candidate,RHOJ expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__HAS2,expression,HAS2,genome_wide_candidate,HAS2 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__PLBD2,expression,PLBD2,genome_wide_candidate,PLBD2 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__IL1RAPL1,expression,IL1RAPL1,genome_wide_candidate,IL1RAPL1 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__CTNNB1,expression,CTNNB1,genome_wide_candidate,CTNNB1 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__LAMA4,expression,LAMA4,genome_wide_candidate,LAMA4 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__RAB7B,expression,RAB7B,genome_wide_candidate,RAB7B expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__PARVA,expression,PARVA,genome_wide_candidate,PARVA expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__HTRA1,expression,HTRA1,genome_wide_candidate,HTRA1 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__S100A13,expression,S100A13,genome_wide_candidate,S100A13 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__UBTD1,expression,UBTD1,genome_wide_candidate,UBTD1 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__ABHD18,expression,ABHD18,genome_wide_candidate,ABHD18 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__CBR3,expression,CBR3,genome_wide_candidate,CBR3 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__FAXC,expression,FAXC,genome_wide_candidate,FAXC expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__STRBP,expression,STRBP,genome_wide_candidate,STRBP expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__USP3,expression,USP3,genome_wide_candidate,USP3 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__TIMP3,expression,TIMP3,genome_wide_candidate,TIMP3 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__CALU,expression,CALU,genome_wide_candidate,CALU expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__TRIM51G,expression,TRIM51G,genome_wide_candidate,TRIM51G expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__P4HA2,expression,P4HA2,genome_wide_candidate,P4HA2 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__CARMIL2,expression,CARMIL2,genome_wide_candidate,CARMIL2 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__TCN1,expression,TCN1,genome_wide_candidate,TCN1 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__FZD7,expression,FZD7,genome_wide_candidate,FZD7 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__SFXN3,expression,SFXN3,genome_wide_candidate,SFXN3 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__PDP1,expression,PDP1,genome_wide_candidate,PDP1 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__LPCAT2,expression,LPCAT2,genome_wide_candidate,LPCAT2 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__POMGNT1,expression,POMGNT1,genome_wide_candidate,POMGNT1 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__HEXA,expression,HEXA,genome_wide_candidate,HEXA expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__ALDH1A3,expression,ALDH1A3,genome_wide_candidate,ALDH1A3 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__PON2,expression,PON2,genome_wide_candidate,PON2 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__MCC,expression,MCC,genome_wide_candidate,MCC expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__GNS,expression,GNS,genome_wide_candidate,GNS expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__CTSD,expression,CTSD,genome_wide_candidate,CTSD expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__NQO1,expression,NQO1,genome_wide_candidate,NQO1 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__HHAT,expression,HHAT,genome_wide_candidate,HHAT expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__TRIM2,expression,TRIM2,genome_wide_candidate,TRIM2 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__VAV1,expression,VAV1,genome_wide_candidate,VAV1 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__RGS20,expression,RGS20,genome_wide_candidate,RGS20 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__PCDH1,expression,PCDH1,genome_wide_candidate,PCDH1 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__CALD1,expression,CALD1,genome_wide_candidate,CALD1 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__SLC4A3,expression,SLC4A3,genome_wide_candidate,SLC4A3 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__TRPM3,expression,TRPM3,genome_wide_candidate,TRPM3 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__USHBP1,expression,USHBP1,genome_wide_candidate,USHBP1 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__SYT14,expression,SYT14,genome_wide_candidate,SYT14 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__KCNIP3,expression,KCNIP3,genome_wide_candidate,KCNIP3 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__MFSD5,expression,MFSD5,genome_wide_candidate,MFSD5 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__KIRREL1,expression,KIRREL1,genome_wide_candidate,KIRREL1 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__CHPF,expression,CHPF,genome_wide_candidate,CHPF expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__SLC6A8,expression,SLC6A8,genome_wide_candidate,SLC6A8 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__ERBB3,expression,ERBB3,prespecified_hypothesis,ERBB3 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__SEMA4F,expression,SEMA4F,genome_wide_candidate,SEMA4F expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__HMCN1,expression,HMCN1,genome_wide_candidate,HMCN1 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__SNX21,expression,SNX21,genome_wide_candidate,SNX21 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__IL17RC,expression,IL17RC,genome_wide_candidate,IL17RC expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__FBXO46,expression,FBXO46,genome_wide_candidate,FBXO46 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__DAAM2,expression,DAAM2,genome_wide_candidate,DAAM2 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__NPAS2,expression,NPAS2,genome_wide_candidate,NPAS2 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__ATOSB,expression,ATOSB,genome_wide_candidate,ATOSB expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__DENND2B,expression,DENND2B,genome_wide_candidate,DENND2B expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__RAB7A,expression,RAB7A,genome_wide_candidate,RAB7A expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__ITGB5,expression,ITGB5,genome_wide_candidate,ITGB5 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__TNFRSF19,expression,TNFRSF19,genome_wide_candidate,TNFRSF19 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__ZCCHC8,expression,ZCCHC8,genome_wide_candidate,ZCCHC8 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__ADAT2,expression,ADAT2,genome_wide_candidate,ADAT2 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__ST3GAL6,expression,ST3GAL6,genome_wide_candidate,ST3GAL6 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__CSPG4,expression,CSPG4,genome_wide_candidate,CSPG4 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__TNS2,expression,TNS2,genome_wide_candidate,TNS2 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__PROB1,expression,PROB1,genome_wide_candidate,PROB1 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__VAMP3,expression,VAMP3,genome_wide_candidate,VAMP3 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__AFAP1L1,expression,AFAP1L1,genome_wide_candidate,AFAP1L1 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__FAXDC2,expression,FAXDC2,genome_wide_candidate,FAXDC2 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__KIAA1958,expression,KIAA1958,genome_wide_candidate,KIAA1958 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__CD109,expression,CD109,genome_wide_candidate,CD109 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__TRNP1,expression,TRNP1,genome_wide_candidate,TRNP1 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__PRR29,expression,PRR29,genome_wide_candidate,PRR29 expression,0,15,0,0,0,,0,0,FALSE,FALSE
expression__GOLGA7B,expression,GOLGA7B,genome_wide_candidate,GOLGA7B expression,0,15,0,0,0,,0,0,FALSE,FALSE
