gene,altered_n,reference_n,altered_mean_dependency,reference_mean_dependency,effect,std_error,conf_low,conf_high,p_value,eligible,fdr
DNAH3,29,1179,-0.251059912170077,-0.397600799985343,0.146540887815266,0.0336328808769415,0.0785008060526376,0.214580969577894,9.35511627126422e-05,TRUE,0.00618876922560556
FRAS1,24,1184,-0.248688533041004,-0.397030030272523,0.14834149723152,0.0335818553274597,0.079923308155244,0.216759686307794,0.000108034748948902,TRUE,0.00662324678645252
USF3,10,1198,-0.246074111601088,-0.39531831345546,0.149244201854372,0.0283462160429196,0.0885634226606322,0.209924981048111,0.00011167102139949,TRUE,0.00662324678645252
SRCAP,25,1183,-0.244628152631937,-0.39724123146226,0.152613078830322,0.0346429698525517,0.0820928858714114,0.223133271789232,0.000107693237586535,TRUE,0.00662324678645252
ASXL1,37,1171,-0.262765368498917,-0.398232076858405,0.135466708359488,0.0327214151275896,0.0697791725957489,0.201154244123225,0.000130109514833949,TRUE,0.00744774334098181
ADAMTS20,27,1181,-0.254792478768498,-0.397267302039714,0.142474823271216,0.033435439190826,0.0746743207719449,0.210275325770486,0.000138867887544172,TRUE,0.00744774334098181
BAHCC1,22,1186,-0.246363736321181,-0.396823000368116,0.150459264046935,0.0343124192849863,0.0802409114466973,0.220677616647171,0.000142892750146744,TRUE,0.00744774334098181
CYLC1,12,1196,-0.225487519415972,-0.395774440136003,0.170286920720031,0.0336941680903739,0.0985108212535335,0.242063020186527,0.000139848183256942,TRUE,0.00744774334098181
NAV3,32,1176,-0.271114207846622,-0.39742893366034,0.126314725813718,0.0306015448805465,0.0647315719650583,0.187897879662376,0.000150883040855616,TRUE,0.00746618060236801
RAD50,29,1179,-0.267371267144124,-0.397199587691664,0.12982832054754,0.031121667746155,0.0669874135952368,0.192669227499842,0.000151928093652837,TRUE,0.00746618060236801
AFDN,19,1189,-0.279853518893674,-0.395908211754981,0.116054692861306,0.0269528856530935,0.0610446190094446,0.171064766713166,0.000159638293753544,TRUE,0.00762716292378044
COL11A2,24,1184,-0.270661656966948,-0.396584629111862,0.125922972144915,0.0300220738549987,0.0649663094977808,0.186879634792047,0.000178296449839028,TRUE,0.0076667473430782
GRM7,16,1192,-0.266855916340323,-0.39579059226024,0.128934675919917,0.0288625614673096,0.0692964774916771,0.188572874348156,0.000168246880988087,TRUE,0.0076667473430782
PLEKHA5,12,1196,-0.260492673055481,-0.395423217858684,0.134930544803202,0.0284065782050182,0.0751167565849988,0.194744333021405,0.000173170411167619,TRUE,0.0076667473430782
TENM3,23,1185,-0.258379567900639,-0.396716751539187,0.138337183638548,0.0324917479984821,0.0720854774579752,0.20458888981912,0.000176016579613791,TRUE,0.0076667473430782
