family,modality,gene,feature,estimate_type,lineage,n,altered_n,reference_n,estimate,std_error,statistic,p_value,conf_low,conf_high,estimable,reason,fdr
prespecified_hypothesis,mutation,PTEN,PTEN damaging mutation,Altered minus reference,Cervix,18,1,17,,,,,,,FALSE,Not estimable: fewer than 20 complete models,
prespecified_hypothesis,mutation,PTEN,PTEN damaging mutation,Altered minus reference,Esophagus/Stomach,69,4,65,,,,,,,FALSE,Not estimable: fewer than 10 altered or 10 reference models,
prespecified_hypothesis,mutation,PTEN,PTEN damaging mutation,Altered minus reference,Eye,15,0,15,,,,,,,FALSE,Not estimable: fewer than 20 complete models,
prespecified_hypothesis,mutation,PTEN,PTEN damaging mutation,Altered minus reference,Fibroblast,1,0,1,,,,,,,FALSE,Not estimable: fewer than 20 complete models,
prespecified_hypothesis,mutation,PTEN,PTEN damaging mutation,Altered minus reference,Head and Neck,77,3,74,,,,,,,FALSE,Not estimable: fewer than 10 altered or 10 reference models,
prespecified_hypothesis,mutation,PTEN,PTEN damaging mutation,Altered minus reference,Kidney,35,4,31,,,,,,,FALSE,Not estimable: fewer than 10 altered or 10 reference models,
prespecified_hypothesis,mutation,PTEN,PTEN damaging mutation,Altered minus reference,Liver,25,1,24,,,,,,,FALSE,Not estimable: fewer than 10 altered or 10 reference models,
prespecified_hypothesis,mutation,PTEN,PTEN damaging mutation,Altered minus reference,Lung,126,7,119,,,,,,,FALSE,Not estimable: fewer than 10 altered or 10 reference models,
prespecified_hypothesis,mutation,PTEN,PTEN damaging mutation,Altered minus reference,Myeloid,45,4,41,,,,,,,FALSE,Not estimable: fewer than 10 altered or 10 reference models,
prespecified_hypothesis,mutation,PTEN,PTEN damaging mutation,Altered minus reference,Other,1,0,1,,,,,,,FALSE,Not estimable: fewer than 20 complete models,
prespecified_hypothesis,mutation,PTEN,PTEN damaging mutation,Altered minus reference,Ovary/Fallopian Tube,59,6,53,,,,,,,FALSE,Not estimable: fewer than 10 altered or 10 reference models,
prespecified_hypothesis,mutation,PTEN,PTEN damaging mutation,Altered minus reference,Pancreas,48,1,47,,,,,,,FALSE,Not estimable: fewer than 10 altered or 10 reference models,
prespecified_hypothesis,mutation,PTEN,PTEN damaging mutation,Altered minus reference,Peripheral Nervous System,47,0,47,,,,,,,FALSE,Not estimable: feature has no within-lineage variation,
prespecified_hypothesis,mutation,PTEN,PTEN damaging mutation,Altered minus reference,Pleura,21,0,21,,,,,,,FALSE,Not estimable: feature has no within-lineage variation,
prespecified_hypothesis,mutation,PTEN,PTEN damaging mutation,Altered minus reference,Prostate,10,1,9,,,,,,,FALSE,Not estimable: fewer than 20 complete models,
prespecified_hypothesis,mutation,PTEN,PTEN damaging mutation,Altered minus reference,Skin,75,7,68,,,,,,,FALSE,Not estimable: fewer than 10 altered or 10 reference models,
prespecified_hypothesis,mutation,PTEN,PTEN damaging mutation,Altered minus reference,Soft Tissue,49,0,49,,,,,,,FALSE,Not estimable: feature has no within-lineage variation,
prespecified_hypothesis,mutation,PTEN,PTEN damaging mutation,Altered minus reference,Testis,5,1,4,,,,,,,FALSE,Not estimable: fewer than 20 complete models,
prespecified_hypothesis,mutation,PTEN,PTEN damaging mutation,Altered minus reference,Thyroid,11,2,9,,,,,,,FALSE,Not estimable: fewer than 20 complete models,
prespecified_hypothesis,mutation,PTEN,PTEN damaging mutation,Altered minus reference,Vulva/Vagina,2,0,2,,,,,,,FALSE,Not estimable: fewer than 20 complete models,
target_characterization,copy_number,SOX10,SOX10 copy number,Chronos change per 1 overall SD increase,Adrenal Gland,1,,,,,,,,,FALSE,Not estimable: fewer than 20 complete models,
target_characterization,copy_number,SOX10,SOX10 copy number,Chronos change per 1 overall SD increase,Ampulla of Vater,3,,,,,,,,,FALSE,Not estimable: fewer than 20 complete models,
target_characterization,copy_number,SOX10,SOX10 copy number,Chronos change per 1 overall SD increase,Biliary Tract,8,,,,,,,,,FALSE,Not estimable: fewer than 20 complete models,
target_characterization,copy_number,SOX10,SOX10 copy number,Chronos change per 1 overall SD increase,Cervix,6,,,,,,,,,FALSE,Not estimable: fewer than 20 complete models,
target_characterization,copy_number,SOX10,SOX10 copy number,Chronos change per 1 overall SD increase,Eye,12,,,,,,,,,FALSE,Not estimable: fewer than 20 complete models,
target_characterization,copy_number,SOX10,SOX10 copy number,Chronos change per 1 overall SD increase,Fibroblast,1,,,,,,,,,FALSE,Not estimable: fewer than 20 complete models,
target_characterization,copy_number,SOX10,SOX10 copy number,Chronos change per 1 overall SD increase,Pleura,15,,,,,,,,,FALSE,Not estimable: fewer than 20 complete models,
target_characterization,copy_number,SOX10,SOX10 copy number,Chronos change per 1 overall SD increase,Prostate,6,,,,,,,,,FALSE,Not estimable: fewer than 20 complete models,
target_characterization,copy_number,SOX10,SOX10 copy number,Chronos change per 1 overall SD increase,Testis,5,,,,,,,,,FALSE,Not estimable: fewer than 20 complete models,
target_characterization,copy_number,SOX10,SOX10 copy number,Chronos change per 1 overall SD increase,Thyroid,9,,,,,,,,,FALSE,Not estimable: fewer than 20 complete models,
target_characterization,copy_number,SOX10,SOX10 copy number,Chronos change per 1 overall SD increase,Vulva/Vagina,2,,,,,,,,,FALSE,Not estimable: fewer than 20 complete models,
target_characterization,expression,SOX10,SOX10 expression,Chronos change per 1 overall SD increase,Adrenal Gland,1,,,,,,,,,FALSE,Not estimable: fewer than 20 complete models,
target_characterization,expression,SOX10,SOX10 expression,Chronos change per 1 overall SD increase,Ampulla of Vater,5,,,,,,,,,FALSE,Not estimable: fewer than 20 complete models,
target_characterization,expression,SOX10,SOX10 expression,Chronos change per 1 overall SD increase,Cervix,18,,,,,,,,,FALSE,Not estimable: fewer than 20 complete models,
target_characterization,expression,SOX10,SOX10 expression,Chronos change per 1 overall SD increase,Eye,15,,,,,,,,,FALSE,Not estimable: fewer than 20 complete models,
target_characterization,expression,SOX10,SOX10 expression,Chronos change per 1 overall SD increase,Fibroblast,1,,,,,,,,,FALSE,Not estimable: fewer than 20 complete models,
target_characterization,expression,SOX10,SOX10 expression,Chronos change per 1 overall SD increase,Prostate,10,,,,,,,,,FALSE,Not estimable: fewer than 20 complete models,
target_characterization,expression,SOX10,SOX10 expression,Chronos change per 1 overall SD increase,Testis,4,,,,,,,,,FALSE,Not estimable: fewer than 20 complete models,
target_characterization,expression,SOX10,SOX10 expression,Chronos change per 1 overall SD increase,Thyroid,11,,,,,,,,,FALSE,Not estimable: fewer than 20 complete models,
target_characterization,expression,SOX10,SOX10 expression,Chronos change per 1 overall SD increase,Vulva/Vagina,2,,,,,,,,,FALSE,Not estimable: fewer than 20 complete models,
prespecified_hypothesis,expression,TFAP2A,TFAP2A expression,Chronos change per 1 overall SD increase,Adrenal Gland,1,,,,,,,,,FALSE,Not estimable: fewer than 20 complete models,
prespecified_hypothesis,expression,TFAP2A,TFAP2A expression,Chronos change per 1 overall SD increase,Ampulla of Vater,5,,,,,,,,,FALSE,Not estimable: fewer than 20 complete models,
prespecified_hypothesis,expression,TFAP2A,TFAP2A expression,Chronos change per 1 overall SD increase,Cervix,18,,,,,,,,,FALSE,Not estimable: fewer than 20 complete models,
prespecified_hypothesis,expression,TFAP2A,TFAP2A expression,Chronos change per 1 overall SD increase,Eye,15,,,,,,,,,FALSE,Not estimable: fewer than 20 complete models,
prespecified_hypothesis,expression,TFAP2A,TFAP2A expression,Chronos change per 1 overall SD increase,Fibroblast,1,,,,,,,,,FALSE,Not estimable: fewer than 20 complete models,
prespecified_hypothesis,expression,TFAP2A,TFAP2A expression,Chronos change per 1 overall SD increase,Prostate,10,,,,,,,,,FALSE,Not estimable: fewer than 20 complete models,
prespecified_hypothesis,expression,TFAP2A,TFAP2A expression,Chronos change per 1 overall SD increase,Testis,4,,,,,,,,,FALSE,Not estimable: fewer than 20 complete models,
prespecified_hypothesis,expression,TFAP2A,TFAP2A expression,Chronos change per 1 overall SD increase,Thyroid,11,,,,,,,,,FALSE,Not estimable: fewer than 20 complete models,
prespecified_hypothesis,expression,TFAP2A,TFAP2A expression,Chronos change per 1 overall SD increase,Vulva/Vagina,2,,,,,,,,,FALSE,Not estimable: fewer than 20 complete models,
prespecified_hypothesis,expression,TYRO3,TYRO3 expression,Chronos change per 1 overall SD increase,Adrenal Gland,1,,,,,,,,,FALSE,Not estimable: fewer than 20 complete models,
prespecified_hypothesis,expression,TYRO3,TYRO3 expression,Chronos change per 1 overall SD increase,Ampulla of Vater,5,,,,,,,,,FALSE,Not estimable: fewer than 20 complete models,
prespecified_hypothesis,expression,TYRO3,TYRO3 expression,Chronos change per 1 overall SD increase,Cervix,18,,,,,,,,,FALSE,Not estimable: fewer than 20 complete models,
prespecified_hypothesis,expression,TYRO3,TYRO3 expression,Chronos change per 1 overall SD increase,Eye,15,,,,,,,,,FALSE,Not estimable: fewer than 20 complete models,
prespecified_hypothesis,expression,TYRO3,TYRO3 expression,Chronos change per 1 overall SD increase,Fibroblast,1,,,,,,,,,FALSE,Not estimable: fewer than 20 complete models,
prespecified_hypothesis,expression,TYRO3,TYRO3 expression,Chronos change per 1 overall SD increase,Prostate,10,,,,,,,,,FALSE,Not estimable: fewer than 20 complete models,
prespecified_hypothesis,expression,TYRO3,TYRO3 expression,Chronos change per 1 overall SD increase,Testis,4,,,,,,,,,FALSE,Not estimable: fewer than 20 complete models,
prespecified_hypothesis,expression,TYRO3,TYRO3 expression,Chronos change per 1 overall SD increase,Thyroid,11,,,,,,,,,FALSE,Not estimable: fewer than 20 complete models,
prespecified_hypothesis,expression,TYRO3,TYRO3 expression,Chronos change per 1 overall SD increase,Vulva/Vagina,2,,,,,,,,,FALSE,Not estimable: fewer than 20 complete models,
target_characterization,expression,SOX10,SOX10 expression,Chronos change per 1 overall SD increase,Skin,74,,,-0.393185253313885,0.0206612471764981,-19.030083225621,8.30105589138319e-30,-0.434372696802029,-0.351997809825741,TRUE,Estimated,1.69341540184217e-27
prespecified_hypothesis,expression,ERBB3,ERBB3 expression,Chronos change per 1 overall SD increase,Skin,74,,,-0.644354201188287,0.0507261059225978,-12.7026151420237,4.61911782510473e-20,-0.745474845223617,-0.543233557152957,TRUE,Estimated,4.71150018160682e-18
prespecified_hypothesis,expression,MITF,MITF expression,Chronos change per 1 overall SD increase,Skin,74,,,-0.384703354720811,0.061267234821182,-6.27910425276461,2.28831646948516e-08,-0.506837355166955,-0.262569354274668,TRUE,Estimated,1.55605519924991e-06
prespecified_hypothesis,expression,PAX3,PAX3 expression,Chronos change per 1 overall SD increase,Skin,74,,,-0.351650516166913,0.0580706877338739,-6.05555969611477,5.76573819383768e-08,-0.467412316455389,-0.235888715878437,TRUE,Estimated,2.94052647885722e-06
prespecified_hypothesis,expression,TYRO3,TYRO3 expression,Chronos change per 1 overall SD increase,Skin,74,,,-0.559839110246645,0.0971737175273356,-5.76121943764432,1.91847058429608e-07,-0.75355137577448,-0.366126844718809,TRUE,Estimated,7.827359983928e-06
prespecified_hypothesis,expression,AXL,AXL expression,Chronos change per 1 overall SD increase,Skin,74,,,0.323124352614423,0.0844888309791035,3.82446234454754,0.000276248119747044,0.154698946267727,0.491549758961119,TRUE,Estimated,0.00939243607139949
prespecified_hypothesis,mutation,CDKN2A,CDKN2A damaging mutation,Altered minus reference,Esophagus/Stomach,69,10,59,-0.116682260555493,0.0318058011845173,-3.6685842270904,0.000484472848162937,-0.180166905426258,-0.0531976156847292,TRUE,Estimated,0.0141189230036056
prespecified_hypothesis,copy_number,MITF,MITF copy number,Chronos change per 1 overall SD increase,Uterus,25,,,0.305130413675172,0.0883205842049736,3.45480520109591,0.00215229293420359,0.122425365002897,0.487835462347447,TRUE,Estimated,0.0548834698221915
target_characterization,copy_number,SOX10,SOX10 copy number,Chronos change per 1 overall SD increase,Bone,50,,,-0.0443039970542055,0.0171253342580952,-2.58704422269965,0.0127658206893336,-0.0787367893494647,-0.00987120475894632,TRUE,Estimated,0.237153514606989
prespecified_hypothesis,expression,AXL,AXL expression,Chronos change per 1 overall SD increase,Bone,49,,,-0.0549455230552335,0.0212578607861396,-2.58471553690194,0.0129109885583074,-0.0977108228339378,-0.0121802232765292,TRUE,Estimated,0.237153514606989
prespecified_hypothesis,expression,ERBB3,ERBB3 expression,Chronos change per 1 overall SD increase,Lymphoid,94,,,0.0766369323164463,0.0302759429642036,2.53128143381222,0.0130617503498271,0.0165062962624487,0.136767568370444,TRUE,Estimated,0.237153514606989
prespecified_hypothesis,expression,AXL,AXL expression,Chronos change per 1 overall SD increase,Biliary Tract,34,,,-0.106767639238612,0.0410877117573797,-2.59852969834554,0.0140397488077452,-0.190460569323696,-0.0230747091535278,TRUE,Estimated,0.237153514606989
prespecified_hypothesis,mutation,CDKN2A,CDKN2A damaging mutation,Altered minus reference,Skin,75,26,49,0.480946466566499,0.193273837362991,2.48841991822838,0.0151127239700533,0.0957522641923554,0.866140668940642,TRUE,Estimated,0.237153514606989
prespecified_hypothesis,expression,MITF,MITF expression,Chronos change per 1 overall SD increase,Bone,49,,,-0.0850888348576359,0.0355303263942903,-2.39482277515215,0.0206671518769076,-0.156566631931072,-0.0136110377842,TRUE,Estimated,0.301149927349225
prespecified_hypothesis,copy_number,EP300,EP300 copy number,Chronos change per 1 overall SD increase,Liver,23,,,-0.0443672013826375,0.0182987143606041,-2.42460757123774,0.0244321325075993,-0.0824214611076671,-0.00631294165760791,TRUE,Estimated,0.319616220741535
prespecified_hypothesis,copy_number,EP300,EP300 copy number,Chronos change per 1 overall SD increase,Breast,40,,,-0.0441216505794217,0.0189155898297309,-2.33255483844721,0.025067938881689,-0.0824142602376816,-0.00582904092116179,TRUE,Estimated,0.319616220741535
target_characterization,copy_number,SOX10,SOX10 copy number,Chronos change per 1 overall SD increase,Liver,23,,,-0.0491816765029247,0.0213499797355466,-2.30359359175596,0.0315637614441564,-0.0935813899456229,-0.00478196306022656,TRUE,Estimated,0.378765137329876
prespecified_hypothesis,expression,PAX3,PAX3 expression,Chronos change per 1 overall SD increase,Liver,25,,,0.0711023653335722,0.0345099769928924,2.06034229893043,0.0508533235350629,-0.000286961208161018,0.142491691875305,TRUE,Estimated,0.576337666730713
prespecified_hypothesis,expression,ERBB3,ERBB3 expression,Chronos change per 1 overall SD increase,Bone,49,,,0.179305222012193,0.0911712433839228,1.96668615406656,0.0551395968563644,-0.00410766199036103,0.362718106014748,TRUE,Estimated,0.592025145194649
target_characterization,copy_number,SOX10,SOX10 copy number,Chronos change per 1 overall SD increase,Breast,40,,,-0.036237788734854,0.0187327492820326,-1.93446184482975,0.0605275289403995,-0.074160257055427,0.00168467958571901,TRUE,Estimated,0.617380795192075
prespecified_hypothesis,expression,PAX3,PAX3 expression,Chronos change per 1 overall SD increase,Lymphoid,94,,,0.650095276488432,0.349735046551184,1.85882222241999,0.0662492680127357,-0.0445087140251412,1.34469926700201,TRUE,Estimated,0.643564317838004
target_characterization,expression,SOX10,SOX10 expression,Chronos change per 1 overall SD increase,CNS/Brain,84,,,-0.382655766429074,0.209404055725021,-1.8273560419076,0.0712841270798085,-0.79922714042252,0.0339156075643721,TRUE,Estimated,0.660998269285497
prespecified_hypothesis,expression,PAX3,PAX3 expression,Chronos change per 1 overall SD increase,Ovary/Fallopian Tube,56,,,0.0435866575333105,0.0244443332609368,1.78309864572842,0.0801911052028176,-0.00542127993510811,0.0925945950017292,TRUE,Estimated,0.711260237451078
prespecified_hypothesis,copy_number,MITF,MITF copy number,Chronos change per 1 overall SD increase,Skin,50,,,-0.0847634285149556,0.0497582421889472,-1.70350528447293,0.0949406857430978,-0.184809079738337,0.0152822227084261,TRUE,Estimated,0.806995828816331
prespecified_hypothesis,expression,TFAP2A,TFAP2A expression,Chronos change per 1 overall SD increase,Lymphoid,94,,,0.0435398361941711,0.0266229776845628,1.63542323139224,0.105377357004051,-0.00933569550163436,0.0964153678899767,TRUE,Estimated,0.859879233153055
prespecified_hypothesis,expression,AXL,AXL expression,Chronos change per 1 overall SD increase,Peripheral Nervous System,40,,,-0.072735021345487,0.046585426107301,-1.56132566390946,0.126737587839192,-0.16704228608046,0.0215722433894854,TRUE,Estimated,0.884085210004604
prespecified_hypothesis,expression,TFAP2A,TFAP2A expression,Chronos change per 1 overall SD increase,Skin,74,,,-0.203312185154412,0.132032569583251,-1.53986388204175,0.127977191954801,-0.466514302231371,0.059889931922547,TRUE,Estimated,0.884085210004604
prespecified_hypothesis,expression,AXL,AXL expression,Chronos change per 1 overall SD increase,Esophagus/Stomach,62,,,-0.0374664688775876,0.0248308430754544,-1.50886817510532,0.136580662287666,-0.087135550200197,0.0122026124450218,TRUE,Estimated,0.884085210004604
prespecified_hypothesis,expression,TYRO3,TYRO3 expression,Chronos change per 1 overall SD increase,Peripheral Nervous System,40,,,-0.0884077180551438,0.0589338915495445,-1.50011675337647,0.14184764874029,-0.207713144164663,0.030897708054375,TRUE,Estimated,0.884085210004604
prespecified_hypothesis,copy_number,EP300,EP300 copy number,Chronos change per 1 overall SD increase,Uterus,25,,,0.0716018508329347,0.0487962059025165,1.4673651262145,0.155819019301963,-0.029340791866881,0.17254449353275,TRUE,Estimated,0.884085210004604
prespecified_hypothesis,expression,TYRO3,TYRO3 expression,Chronos change per 1 overall SD increase,Lung,123,,,-0.0304981230939116,0.0213775945033094,-1.4266396104197,0.156259024890142,-0.0728207100210975,0.0118244638332743,TRUE,Estimated,0.884085210004604
prespecified_hypothesis,expression,MITF,MITF expression,Chronos change per 1 overall SD increase,Biliary Tract,34,,,-0.0664139036778125,0.0465488395952937,-1.42675744992207,0.163334747206777,-0.161230787148842,0.028402979793217,TRUE,Estimated,0.884085210004604
target_characterization,copy_number,SOX10,SOX10 copy number,Chronos change per 1 overall SD increase,Kidney,25,,,-0.037493213222687,0.0260472912586083,-1.43942849375157,0.163501372010217,-0.0913761405156086,0.0163897140702345,TRUE,Estimated,0.884085210004604
